business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Services,Education,141958,146932,-4974,23575,Online,13,25,88,131,Urban,3,7,8,3.34,0.39,230,81,51,371879,12,31,786997,2,5,VC,B2C,1,6,9,-4584
Trading,Healthcare,150608,99478,51130,20431,Offline,12,192,65,24,Urban,3,12,7,7.88,0.58,1608,66,70,306840,7,19,675987,9,2,Bank Loan,B2C,9,5,2,70363
Services,IT,144243,135174,9069,28054,Offline,12,12,84,90,Rural,4,2,8,6.29,0.56,665,63,78,488974,18,27,212283,2,4,Bank Loan,B2B,8,7,9,27552
Manufacturing,Textile,75591,38247,37344,10529,Both,5,28,75,197,Urban,9,13,1,1.11,0.55,1252,67,73,229262,11,18,698519,3,3,VC,Hybrid,1,5,7,56644
Services,Healthcare,84505,119488,-34983,24662,Online,9,76,61,171,Urban,1,7,7,5.68,0.7,783,99,71,74538,3,2,501234,5,3,Bank Loan,B2B,1,5,7,-20500
Services,FMCG,157982,125989,31993,22872,Offline,10,46,62,188,Rural,7,1,4,4.94,0.72,584,82,88,499260,15,44,784684,4,7,VC,B2C,3,6,2,50315
Manufacturing,IT,129225,79044,50181,18312,Offline,5,138,77,37,Urban,4,14,7,7.27,0.49,1348,60,76,187848,13,42,412690,7,6,Bootstrapped,Hybrid,8,9,5,54970
Manufacturing,Education,33545,142659,-109114,3998,Online,11,122,81,105,Urban,8,9,4,3.55,0.88,663,71,88,291025,3,38,750976,8,1,Bank Loan,Hybrid,1,2,2,-113451
Services,Textile,132859,127181,5678,26548,Both,1,133,68,135,Urban,2,5,6,2.69,0.7,302,76,87,418452,2,7,623333,1,9,Bootstrapped,B2C,6,3,4,1532
Services,Education,153883,71250,82633,8546,Offline,10,199,68,157,Rural,7,4,9,5.84,0.53,437,99,50,182874,18,24,818350,3,7,Bootstrapped,Hybrid,9,4,1,91876
Trading,Food,153121,118727,34394,22932,Both,5,164,58,108,Rural,3,3,4,7.21,0.77,727,70,98,82711,4,39,194423,4,3,Bootstrapped,Hybrid,9,3,9,43983
Services,Healthcare,198047,36357,161690,13969,Both,6,167,65,198,Rural,9,4,1,1.13,0.6,915,79,57,489430,3,18,866703,1,3,VC,B2C,6,7,6,177507
Services,Healthcare,157965,131381,26584,16565,Online,13,55,57,36,Rural,2,5,1,5.04,0.6,552,78,53,152946,17,18,721851,5,6,Angel,B2C,3,9,5,35957
Manufacturing,Food,169783,18420,151363,14468,Both,3,192,82,125,Rural,5,7,1,3.22,0.4,1916,90,52,495101,18,33,14014,6,7,Angel,B2B,2,2,1,146664
Services,Textile,178823,120864,57959,9343,Offline,7,174,75,108,Rural,2,9,8,7.39,0.61,1948,95,94,308067,1,9,278799,3,7,Bootstrapped,Hybrid,2,2,7,65492
Services,FMCG,144862,133834,11028,18958,Both,14,129,71,67,Urban,6,1,4,1.27,0.48,1102,96,82,462724,12,45,386836,7,4,Bank Loan,B2C,6,4,3,26181
Manufacturing,IT,190806,88523,102283,6465,Both,12,110,79,156,Urban,1,8,3,4.07,0.35,840,85,72,444366,9,13,84740,1,1,Angel,B2B,2,6,9,104082
Trading,Education,196615,129548,67067,5343,Offline,13,196,54,31,Urban,7,3,3,6.3,0.31,1343,64,96,390976,14,6,236507,5,7,VC,B2C,4,1,5,75251
Trading,FMCG,46646,119185,-72539,16069,Online,5,104,83,189,Rural,3,10,1,4.78,0.71,1139,83,65,416326,2,29,363151,4,8,Bootstrapped,Hybrid,2,3,1,-54490
Trading,Textile,24000,116042,-92042,7387,Offline,3,69,82,177,Urban,2,13,3,5.33,0.5,189,67,78,164585,10,27,217869,2,3,Bootstrapped,Hybrid,9,7,4,-74926
Trading,Healthcare,102745,104588,-1843,28092,Online,11,161,85,30,Urban,9,4,5,6.25,0.78,1812,94,97,67955,18,40,962415,8,7,Bootstrapped,B2B,5,1,7,-1098
Trading,Construction,91180,127856,-36676,23352,Offline,14,21,69,121,Urban,9,6,3,3.72,0.31,1356,78,61,250968,7,29,485853,4,3,Angel,B2B,5,5,3,-38762
Manufacturing,Healthcare,122795,102508,20287,22020,Both,7,148,88,118,Rural,5,10,7,7.97,0.33,1286,82,78,414778,11,19,637438,9,1,VC,Hybrid,6,7,8,22938
Services,Food,59081,108105,-49024,21065,Offline,2,9,78,174,Rural,6,3,8,3.62,0.52,599,76,56,218152,13,5,527923,6,3,Bank Loan,B2B,6,7,3,-30702
Services,Healthcare,35485,59482,-23997,6748,Online,2,130,69,70,Urban,9,7,1,5.77,0.44,604,84,82,415477,6,45,514492,5,6,Angel,B2C,5,5,4,-8345
Manufacturing,Construction,111362,28843,82519,17761,Both,9,53,63,152,Rural,1,5,6,5.09,0.84,1070,71,59,454191,16,9,398043,8,5,Bootstrapped,B2B,8,4,8,89223
Trading,FMCG,104665,120787,-16122,29355,Offline,5,45,85,164,Urban,6,1,9,3.17,0.79,831,88,62,215421,3,7,408929,3,5,Bank Loan,Hybrid,9,2,8,-20583
Trading,Healthcare,78141,71570,6571,3015,Offline,1,122,50,155,Rural,1,11,5,6.25,0.54,926,86,98,358684,1,35,872312,3,1,Angel,B2C,5,7,6,6695
Trading,FMCG,32763,113142,-80379,7989,Offline,3,185,72,62,Urban,5,10,3,2.73,0.57,100,72,53,71949,1,41,904751,2,8,Bank Loan,Hybrid,7,2,6,-75519
Trading,Education,194197,64922,129275,12176,Online,6,137,79,66,Urban,1,7,5,5.34,0.72,534,98,87,377359,2,39,773185,2,2,Angel,B2B,3,2,4,128638
Manufacturing,Healthcare,114456,68413,46043,11550,Online,12,34,91,60,Urban,1,5,4,4.22,0.81,884,79,73,414612,2,7,810820,2,3,Angel,B2B,9,7,7,65075
Services,Textile,157162,39071,118091,29523,Offline,8,29,52,105,Rural,3,11,2,5.21,0.43,1912,64,67,161195,10,23,351396,6,1,VC,B2B,5,9,2,125738
Manufacturing,Education,128464,106865,21599,18282,Both,9,30,71,65,Urban,1,10,4,6.64,0.75,1376,74,96,443271,14,27,825131,7,8,VC,B2B,2,8,3,30723
Trading,IT,156198,33030,123168,21181,Offline,11,22,87,124,Rural,9,7,5,2.28,0.64,1396,98,71,295885,12,26,638880,4,9,Bank Loan,Hybrid,4,3,9,135470
Manufacturing,Food,145036,139049,5987,22590,Offline,6,38,57,177,Urban,1,12,3,3.65,0.5,791,85,83,438538,13,7,275956,9,1,Bank Loan,B2C,5,6,5,7358
